id,mask,tier,elements,name,catalyst,damage_multiplier,radius,duration,pulse_count,spread_stacks,assembly_window,description
reaction_03,0x03,Fusion,Fire + Cold,Thermal Shock,Cold,1.23,3.45,4.18,2,2,1.25,"Fusion of Fire, Cold. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x03."
reaction_05,0x05,Fusion,Fire + Lightning,Plasma,Lightning,1.33,3.24,4.09,2,2,1.21,"Fusion of Fire, Lightning. It combines burning, spreading flames and area denial; chains, rapid pulses and conduction. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x05."
reaction_09,0x09,Fusion,Fire + Physical,Blastwave,Physical,1.53,3.52,3.91,2,1,1.21,"Fusion of Fire, Physical. It combines burning, spreading flames and area denial; impact, armor break, stagger and displacement. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x09."
reaction_11,0x11,Fusion,Fire + Blood,Searing Hemorrhage,Fire,1.28,3.52,4.45,4,2,1.17,"Fusion of Fire, Blood. It combines burning, spreading flames and area denial; wounds, execution pressure and organic spread. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x11."
reaction_21,0x21,Fusion,Fire + Toxic,Combustion,Fire,1.43,3.45,3.64,2,1,1.25,"Fusion of Fire, Toxic. It combines burning, spreading flames and area denial; poison, contamination and persistent clouds. Toxic is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x21."
reaction_41,0x41,Fusion,Fire + Void,Blackflame,Void,1.455,3.38,4.18,3,1,1.25,"Fusion of Fire, Void. It combines burning, spreading flames and area denial; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x41."
reaction_06,0x06,Fusion,Cold + Lightning,Superconduct,Cold,1.405,3.52,3.64,4,1,1.25,"Fusion of Cold, Lightning. It combines chill, freeze, brittleness and shattering; chains, rapid pulses and conduction. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x06."
reaction_0A,0x0A,Fusion,Cold + Physical,Shatter,Cold,1.28,3.17,4.45,4,2,1.21,"Fusion of Cold, Physical. It combines chill, freeze, brittleness and shattering; impact, armor break, stagger and displacement. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x0A."
reaction_12,0x12,Fusion,Cold + Blood,Crimson Frost,Blood,1.355,3.17,4.0,3,2,1.21,"Fusion of Cold, Blood. It combines chill, freeze, brittleness and shattering; wounds, execution pressure and organic spread. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x12."
reaction_22,0x22,Fusion,Cold + Toxic,Cryotoxin,Toxic,1.505,3.1,4.18,4,1,1.25,"Fusion of Cold, Toxic. It combines chill, freeze, brittleness and shattering; poison, contamination and persistent clouds. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x22."
reaction_42,0x42,Fusion,Cold + Void,Entropic Prison,Cold,1.48,2.96,4.54,4,1,1.25,"Fusion of Cold, Void. It combines chill, freeze, brittleness and shattering; pulling, spatial distortion and collapse. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x42."
reaction_0C,0x0C,Fusion,Lightning + Physical,Thunderclap,Physical,1.38,3.03,4.36,3,2,1.21,"Fusion of Lightning, Physical. It combines chains, rapid pulses and conduction; impact, armor break, stagger and displacement. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x0C."
reaction_14,0x14,Fusion,Lightning + Blood,Neuroshock,Blood,1.455,2.96,3.91,3,1,1.17,"Fusion of Lightning, Blood. It combines chains, rapid pulses and conduction; wounds, execution pressure and organic spread. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x14."
reaction_24,0x24,Fusion,Lightning + Toxic,Ionized Miasma,Toxic,1.28,3.52,4.09,4,2,1.25,"Fusion of Lightning, Toxic. It combines chains, rapid pulses and conduction; poison, contamination and persistent clouds. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x24."
reaction_44,0x44,Fusion,Lightning + Void,Gravity Storm,Lightning,1.255,3.38,4.45,4,2,1.21,"Fusion of Lightning, Void. It combines chains, rapid pulses and conduction; pulling, spatial distortion and collapse. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x44."
reaction_18,0x18,Fusion,Physical + Blood,Rupture,Physical,1.33,3.31,3.73,2,2,1.17,"Fusion of Physical, Blood. It combines impact, armor break, stagger and displacement; wounds, execution pressure and organic spread. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x18."
reaction_28,0x28,Fusion,Physical + Toxic,Aerosolization,Toxic,1.48,3.24,3.91,4,1,1.21,"Fusion of Physical, Toxic. It combines impact, armor break, stagger and displacement; poison, contamination and persistent clouds. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x28."
reaction_48,0x48,Fusion,Physical + Void,Implosion,Void,1.455,3.1,4.18,3,1,1.21,"Fusion of Physical, Void. It combines impact, armor break, stagger and displacement; pulling, spatial distortion and collapse. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x48."
reaction_30,0x30,Fusion,Blood + Toxic,Sepsis,Blood,1.23,3.17,4.45,3,1,1.17,"Fusion of Blood, Toxic. It combines wounds, execution pressure and organic spread; poison, contamination and persistent clouds. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x30."
reaction_50,0x50,Fusion,Blood + Void,Soul Rupture,Void,1.255,3.1,4.09,4,1,1.21,"Fusion of Blood, Void. It combines wounds, execution pressure and organic spread; pulling, spatial distortion and collapse. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x50."
reaction_60,0x60,Fusion,Toxic + Void,Decay Well,Void,1.405,3.03,4.27,2,2,1.25,"Fusion of Toxic, Void. It combines poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Toxic is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x60."
reaction_07,0x07,Compound,Fire + Cold + Lightning,Cinder Rime Volt Tempest,Lightning,1.77,3.58,4.72,3,2,1.135,"Compound of Fire, Cold, Lightning. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; chains, rapid pulses and conduction. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x07."
reaction_0B,0x0B,Compound,Fire + Cold + Physical,Cinder Rime Ruin Maelstrom,Cold,1.645,3.86,4.45,5,3,1.135,"Compound of Fire, Cold, Physical. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; impact, armor break, stagger and displacement. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x0B."
reaction_13,0x13,Compound,Fire + Cold + Blood,Cinder Rime Crimson Cascade,Fire,1.72,3.86,5.08,5,2,1.095,"Compound of Fire, Cold, Blood. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; wounds, execution pressure and organic spread. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x13."
reaction_23,0x23,Compound,Fire + Cold + Toxic,Cinder Rime Miasma Confluence,Fire,1.87,3.79,5.26,3,2,1.135,"Compound of Fire, Cold, Toxic. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; poison, contamination and persistent clouds. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x23."
reaction_43,0x43,Compound,Fire + Cold + Void,Cinder Rime Umbral Tempest,Fire,1.57,3.72,4.81,4,2,1.175,"Compound of Fire, Cold, Void. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x43."
reaction_0D,0x0D,Compound,Fire + Lightning + Physical,Cinder Volt Ruin Maelstrom,Fire,1.745,3.72,4.36,5,2,1.135,"Compound of Fire, Lightning, Physical. It combines burning, spreading flames and area denial; chains, rapid pulses and conduction; impact, armor break, stagger and displacement. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x0D."
reaction_15,0x15,Compound,Fire + Lightning + Blood,Cinder Volt Crimson Cascade,Fire,1.82,3.65,4.99,4,2,1.095,"Compound of Fire, Lightning, Blood. It combines burning, spreading flames and area denial; chains, rapid pulses and conduction; wounds, execution pressure and organic spread. Fire is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x15."
reaction_25,0x25,Compound,Fire + Lightning + Toxic,Cinder Volt Miasma Confluence,Fire,1.695,3.65,4.36,4,3,1.175,"Compound of Fire, Lightning, Toxic. It combines burning, spreading flames and area denial; chains, rapid pulses and conduction; poison, contamination and persistent clouds. Toxic is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x25."
reaction_45,0x45,Compound,Fire + Lightning + Void,Cinder Volt Umbral Tempest,Void,1.67,3.51,4.72,4,3,1.175,"Compound of Fire, Lightning, Void. It combines burning, spreading flames and area denial; chains, rapid pulses and conduction; pulling, spatial distortion and collapse. Fire is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x45."
reaction_19,0x19,Compound,Fire + Physical + Blood,Cinder Ruin Crimson Confluence,Physical,1.695,3.93,4.72,4,3,1.175,"Compound of Fire, Physical, Blood. It combines burning, spreading flames and area denial; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x19."
reaction_29,0x29,Compound,Fire + Physical + Toxic,Cinder Ruin Miasma Cascade,Toxic,1.57,3.93,5.17,3,2,1.175,"Compound of Fire, Physical, Toxic. It combines burning, spreading flames and area denial; impact, armor break, stagger and displacement; poison, contamination and persistent clouds. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x29."
reaction_49,0x49,Compound,Fire + Physical + Void,Cinder Ruin Umbral Maelstrom,Physical,1.87,3.79,4.54,3,2,1.135,"Compound of Fire, Physical, Void. It combines burning, spreading flames and area denial; impact, armor break, stagger and displacement; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x49."
reaction_31,0x31,Compound,Fire + Blood + Toxic,Cinder Crimson Miasma Bloom,Blood,1.645,3.93,4.81,3,3,1.135,"Compound of Fire, Blood, Toxic. It combines burning, spreading flames and area denial; wounds, execution pressure and organic spread; poison, contamination and persistent clouds. Toxic is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x31."
reaction_51,0x51,Compound,Fire + Blood + Void,Cinder Crimson Umbral Cascade,Fire,1.62,3.79,5.08,3,3,1.095,"Compound of Fire, Blood, Void. It combines burning, spreading flames and area denial; wounds, execution pressure and organic spread; pulling, spatial distortion and collapse. Fire is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x51."
reaction_61,0x61,Compound,Fire + Toxic + Void,Cinder Miasma Umbral Confluence,Fire,1.77,3.72,5.26,4,3,1.175,"Compound of Fire, Toxic, Void. It combines burning, spreading flames and area denial; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x61."
reaction_0E,0x0E,Compound,Cold + Lightning + Physical,Rime Volt Ruin Cascade,Cold,1.82,3.93,4.99,4,2,1.135,"Compound of Cold, Lightning, Physical. It combines chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; impact, armor break, stagger and displacement. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x0E."
reaction_16,0x16,Compound,Cold + Lightning + Blood,Rime Volt Crimson Bloom,Cold,1.57,3.93,4.54,3,2,1.095,"Compound of Cold, Lightning, Blood. It combines chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; wounds, execution pressure and organic spread. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x16."
reaction_26,0x26,Compound,Cold + Lightning + Toxic,Rime Volt Miasma Crucible,Toxic,1.72,3.86,4.72,5,3,1.135,"Compound of Cold, Lightning, Toxic. It combines chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; poison, contamination and persistent clouds. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x26."
reaction_46,0x46,Compound,Cold + Lightning + Void,Rime Volt Umbral Confluence,Lightning,1.695,3.72,5.08,5,3,1.135,"Compound of Cold, Lightning, Void. It combines chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x46."
reaction_1A,0x1A,Compound,Cold + Physical + Blood,Rime Ruin Crimson Crucible,Physical,1.77,3.58,4.36,3,2,1.095,"Compound of Cold, Physical, Blood. It combines chill, freeze, brittleness and shattering; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x1A."
reaction_2A,0x2A,Compound,Cold + Physical + Toxic,Rime Ruin Miasma Bloom,Physical,1.595,3.51,4.54,4,3,1.135,"Compound of Cold, Physical, Toxic. It combines chill, freeze, brittleness and shattering; impact, armor break, stagger and displacement; poison, contamination and persistent clouds. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x2A."
reaction_4A,0x4A,Compound,Cold + Physical + Void,Rime Ruin Umbral Cascade,Physical,1.62,3.44,5.08,5,2,1.175,"Compound of Cold, Physical, Void. It combines chill, freeze, brittleness and shattering; impact, armor break, stagger and displacement; pulling, spatial distortion and collapse. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x4A."
reaction_32,0x32,Compound,Cold + Blood + Toxic,Rime Crimson Miasma Triune,Cold,1.67,3.51,5.08,4,3,1.095,"Compound of Cold, Blood, Toxic. It combines chill, freeze, brittleness and shattering; wounds, execution pressure and organic spread; poison, contamination and persistent clouds. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x32."
reaction_52,0x52,Compound,Cold + Blood + Void,Rime Crimson Umbral Bloom,Blood,1.695,3.44,4.72,4,3,1.135,"Compound of Cold, Blood, Void. It combines chill, freeze, brittleness and shattering; wounds, execution pressure and organic spread; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x52."
reaction_62,0x62,Compound,Cold + Toxic + Void,Rime Miasma Umbral Crucible,Cold,1.845,4.0,4.81,3,2,1.175,"Compound of Cold, Toxic, Void. It combines chill, freeze, brittleness and shattering; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Toxic is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x62."
reaction_1C,0x1C,Compound,Lightning + Physical + Blood,Volt Ruin Crimson Crucible,Lightning,1.87,3.44,5.26,3,2,1.095,"Compound of Lightning, Physical, Blood. It combines chains, rapid pulses and conduction; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x1C."
reaction_2C,0x2C,Compound,Lightning + Physical + Toxic,Volt Ruin Miasma Bloom,Lightning,1.695,4.0,4.36,4,3,1.135,"Compound of Lightning, Physical, Toxic. It combines chains, rapid pulses and conduction; impact, armor break, stagger and displacement; poison, contamination and persistent clouds. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x2C."
reaction_4C,0x4C,Compound,Lightning + Physical + Void,Volt Ruin Umbral Cascade,Lightning,1.72,3.93,4.99,5,3,1.135,"Compound of Lightning, Physical, Void. It combines chains, rapid pulses and conduction; impact, armor break, stagger and displacement; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x4C."
reaction_34,0x34,Compound,Lightning + Blood + Toxic,Volt Crimson Miasma Triune,Lightning,1.77,3.93,4.99,3,2,1.095,"Compound of Lightning, Blood, Toxic. It combines chains, rapid pulses and conduction; wounds, execution pressure and organic spread; poison, contamination and persistent clouds. Toxic is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x34."
reaction_54,0x54,Compound,Lightning + Blood + Void,Volt Crimson Umbral Bloom,Lightning,1.795,3.86,4.54,4,3,1.135,"Compound of Lightning, Blood, Void. It combines chains, rapid pulses and conduction; wounds, execution pressure and organic spread; pulling, spatial distortion and collapse. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x54."
reaction_64,0x64,Compound,Lightning + Toxic + Void,Volt Miasma Umbral Crucible,Void,1.62,3.79,4.72,3,2,1.175,"Compound of Lightning, Toxic, Void. It combines chains, rapid pulses and conduction; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x64."
reaction_38,0x38,Compound,Physical + Blood + Toxic,Ruin Crimson Miasma Paradox,Blood,1.645,3.65,4.81,3,3,1.095,"Compound of Physical, Blood, Toxic. It combines impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; poison, contamination and persistent clouds. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x38."
reaction_58,0x58,Compound,Physical + Blood + Void,Ruin Crimson Umbral Crucible,Blood,1.67,3.58,4.36,4,3,1.095,"Compound of Physical, Blood, Void. It combines impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x58."
reaction_68,0x68,Compound,Physical + Toxic + Void,Ruin Miasma Umbral Bloom,Toxic,1.82,3.51,4.54,5,2,1.175,"Compound of Physical, Toxic, Void. It combines impact, armor break, stagger and displacement; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Toxic is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x68."
reaction_70,0x70,Compound,Blood + Toxic + Void,Crimson Miasma Umbral Triune,Toxic,1.57,3.44,5.08,4,2,1.135,"Compound of Blood, Toxic, Void. It combines wounds, execution pressure and organic spread; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x70."
reaction_0F,0x0F,Catastrophe,Fire + Cold + Lightning + Physical,Cinder–Rime–Volt–Ruin Event,Lightning,2.185,3.99,5.98,6,2,1.02,"Catastrophe of Fire, Cold, Lightning, Physical. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; impact, armor break, stagger and displacement. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x0F."
reaction_17,0x17,Catastrophe,Fire + Cold + Lightning + Blood,Cinder–Rime–Volt–Crimson Event,Blood,1.935,3.99,5.62,5,3,1.02,"Catastrophe of Fire, Cold, Lightning, Blood. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; wounds, execution pressure and organic spread. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x17."
reaction_27,0x27,Catastrophe,Fire + Cold + Lightning + Toxic,Cinder–Rime–Volt–Miasma Event,Fire,2.135,3.99,5.98,5,2,1.1,"Catastrophe of Fire, Cold, Lightning, Toxic. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; poison, contamination and persistent clouds. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x27."
reaction_47,0x47,Catastrophe,Fire + Cold + Lightning + Void,Cinder–Rime–Volt–Umbral Event,Void,2.11,4.48,5.35,5,3,1.06,"Catastrophe of Fire, Cold, Lightning, Void. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; pulling, spatial distortion and collapse. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x47."
reaction_1B,0x1B,Catastrophe,Fire + Cold + Physical + Blood,Cinder–Rime–Ruin–Crimson Event,Blood,2.135,4.27,5.35,5,2,1.1,"Catastrophe of Fire, Cold, Physical, Blood. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x1B."
reaction_2B,0x2B,Catastrophe,Fire + Cold + Physical + Toxic,Cinder–Rime–Ruin–Miasma Event,Cold,2.01,4.27,5.8,4,3,1.06,"Catastrophe of Fire, Cold, Physical, Toxic. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; impact, armor break, stagger and displacement; poison, contamination and persistent clouds. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x2B."
reaction_4B,0x4B,Catastrophe,Fire + Cold + Physical + Void,Cinder–Rime–Ruin–Umbral Event,Fire,1.985,4.13,5.17,4,3,1.06,"Catastrophe of Fire, Cold, Physical, Void. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; impact, armor break, stagger and displacement; pulling, spatial distortion and collapse. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x4B."
reaction_33,0x33,Catastrophe,Fire + Cold + Blood + Toxic,Cinder–Rime–Crimson–Miasma Event,Blood,2.085,4.27,5.35,6,3,1.06,"Catastrophe of Fire, Cold, Blood, Toxic. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; wounds, execution pressure and organic spread; poison, contamination and persistent clouds. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x33."
reaction_53,0x53,Catastrophe,Fire + Cold + Blood + Void,Cinder–Rime–Crimson–Umbral Event,Cold,2.06,4.13,5.71,6,3,1.02,"Catastrophe of Fire, Cold, Blood, Void. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; wounds, execution pressure and organic spread; pulling, spatial distortion and collapse. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x53."
reaction_63,0x63,Catastrophe,Fire + Cold + Toxic + Void,Cinder–Rime–Miasma–Umbral Event,Toxic,2.21,4.06,5.89,5,2,1.1,"Catastrophe of Fire, Cold, Toxic, Void. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x63."
reaction_1D,0x1D,Catastrophe,Fire + Lightning + Physical + Blood,Cinder–Volt–Ruin–Crimson Event,Lightning,1.91,4.13,5.26,5,3,1.1,"Catastrophe of Fire, Lightning, Physical, Blood. It combines burning, spreading flames and area denial; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x1D."
reaction_2D,0x2D,Catastrophe,Fire + Lightning + Physical + Toxic,Cinder–Volt–Ruin–Miasma Event,Toxic,2.11,4.13,5.71,4,3,1.06,"Catastrophe of Fire, Lightning, Physical, Toxic. It combines burning, spreading flames and area denial; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; poison, contamination and persistent clouds. Toxic is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x2D."
