id,mask,tier,elements,name,catalyst,damage_multiplier,radius,duration,pulse_count,spread_stacks,assembly_window,description
reaction_4D,0x4D,Catastrophe,Fire + Lightning + Physical + Void,Cinder–Volt–Ruin–Umbral Event,Physical,2.085,3.99,5.08,4,3,1.06,"Catastrophe of Fire, Lightning, Physical, Void. It combines burning, spreading flames and area denial; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x4D."
reaction_35,0x35,Catastrophe,Fire + Lightning + Blood + Toxic,Cinder–Volt–Crimson–Miasma Event,Fire,2.185,4.06,5.26,6,2,1.02,"Catastrophe of Fire, Lightning, Blood, Toxic. It combines burning, spreading flames and area denial; chains, rapid pulses and conduction; wounds, execution pressure and organic spread; poison, contamination and persistent clouds. Toxic is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x35."
reaction_55,0x55,Catastrophe,Fire + Lightning + Blood + Void,Cinder–Volt–Crimson–Umbral Event,Void,2.16,3.92,5.62,6,2,1.02,"Catastrophe of Fire, Lightning, Blood, Void. It combines burning, spreading flames and area denial; chains, rapid pulses and conduction; wounds, execution pressure and organic spread; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x55."
reaction_65,0x65,Catastrophe,Fire + Lightning + Toxic + Void,Cinder–Volt–Miasma–Umbral Event,Fire,1.985,4.48,5.8,5,3,1.06,"Catastrophe of Fire, Lightning, Toxic, Void. It combines burning, spreading flames and area denial; chains, rapid pulses and conduction; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x65."
reaction_39,0x39,Catastrophe,Fire + Physical + Blood + Toxic,Cinder–Ruin–Crimson–Miasma Event,Fire,2.06,4.34,5.08,6,3,1.02,"Catastrophe of Fire, Physical, Blood, Toxic. It combines burning, spreading flames and area denial; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; poison, contamination and persistent clouds. Toxic is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x39."
reaction_59,0x59,Catastrophe,Fire + Physical + Blood + Void,Cinder–Ruin–Crimson–Umbral Event,Void,2.035,4.2,5.44,6,3,1.02,"Catastrophe of Fire, Physical, Blood, Void. It combines burning, spreading flames and area denial; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x59."
reaction_69,0x69,Catastrophe,Fire + Physical + Toxic + Void,Cinder–Ruin–Miasma–Umbral Event,Physical,2.185,4.13,5.53,4,2,1.06,"Catastrophe of Fire, Physical, Toxic, Void. It combines burning, spreading flames and area denial; impact, armor break, stagger and displacement; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x69."
reaction_71,0x71,Catastrophe,Fire + Blood + Toxic + Void,Cinder–Crimson–Miasma–Umbral Event,Toxic,1.985,4.2,5.44,4,2,1.06,"Catastrophe of Fire, Blood, Toxic, Void. It combines burning, spreading flames and area denial; wounds, execution pressure and organic spread; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x71."
reaction_1E,0x1E,Catastrophe,Cold + Lightning + Physical + Blood,Rime–Volt–Ruin–Crimson Collapse,Cold,1.985,4.34,5.8,4,3,1.1,"Catastrophe of Cold, Lightning, Physical, Blood. It combines chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x1E."
reaction_2E,0x2E,Catastrophe,Cold + Lightning + Physical + Toxic,Rime–Volt–Ruin–Miasma Collapse,Physical,2.135,4.27,5.98,5,2,1.06,"Catastrophe of Cold, Lightning, Physical, Toxic. It combines chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; poison, contamination and persistent clouds. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x2E."
reaction_4E,0x4E,Catastrophe,Cold + Lightning + Physical + Void,Rime–Volt–Ruin–Umbral Collapse,Lightning,2.16,4.2,5.62,6,2,1.06,"Catastrophe of Cold, Lightning, Physical, Void. It combines chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; pulling, spatial distortion and collapse. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x4E."
reaction_36,0x36,Catastrophe,Cold + Lightning + Blood + Toxic,Rime–Volt–Crimson–Miasma Collapse,Toxic,2.21,4.27,5.62,4,2,1.02,"Catastrophe of Cold, Lightning, Blood, Toxic. It combines chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; wounds, execution pressure and organic spread; poison, contamination and persistent clouds. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x36."
reaction_56,0x56,Catastrophe,Cold + Lightning + Blood + Void,Rime–Volt–Crimson–Umbral Collapse,Blood,1.91,4.2,5.17,5,2,1.02,"Catastrophe of Cold, Lightning, Blood, Void. It combines chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; wounds, execution pressure and organic spread; pulling, spatial distortion and collapse. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x56."
reaction_66,0x66,Catastrophe,Cold + Lightning + Toxic + Void,Rime–Volt–Miasma–Umbral Collapse,Cold,2.06,4.13,5.35,6,3,1.1,"Catastrophe of Cold, Lightning, Toxic, Void. It combines chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Toxic is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x66."
reaction_3A,0x3A,Catastrophe,Cold + Physical + Blood + Toxic,Rime–Ruin–Crimson–Miasma Collapse,Toxic,2.085,3.92,5.35,4,3,1.1,"Catastrophe of Cold, Physical, Blood, Toxic. It combines chill, freeze, brittleness and shattering; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; poison, contamination and persistent clouds. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x3A."
reaction_5A,0x5A,Catastrophe,Cold + Physical + Blood + Void,Rime–Ruin–Crimson–Umbral Collapse,Blood,2.11,4.48,5.98,5,3,1.02,"Catastrophe of Cold, Physical, Blood, Void. It combines chill, freeze, brittleness and shattering; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; pulling, spatial distortion and collapse. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x5A."
reaction_6A,0x6A,Catastrophe,Cold + Physical + Toxic + Void,Rime–Ruin–Miasma–Umbral Collapse,Cold,1.935,4.41,5.17,6,2,1.06,"Catastrophe of Cold, Physical, Toxic, Void. It combines chill, freeze, brittleness and shattering; impact, armor break, stagger and displacement; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Toxic is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x6A."
reaction_72,0x72,Catastrophe,Cold + Blood + Toxic + Void,Rime–Crimson–Miasma–Umbral Collapse,Blood,2.01,4.41,5.71,5,3,1.02,"Catastrophe of Cold, Blood, Toxic, Void. It combines chill, freeze, brittleness and shattering; wounds, execution pressure and organic spread; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Toxic is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x72."
reaction_3C,0x3C,Catastrophe,Lightning + Physical + Blood + Toxic,Volt–Ruin–Crimson–Miasma Collapse,Physical,2.185,4.41,5.26,4,2,1.1,"Catastrophe of Lightning, Physical, Blood, Toxic. It combines chains, rapid pulses and conduction; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; poison, contamination and persistent clouds. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x3C."
reaction_5C,0x5C,Catastrophe,Lightning + Physical + Blood + Void,Volt–Ruin–Crimson–Umbral Collapse,Physical,2.21,4.34,5.89,4,2,1.02,"Catastrophe of Lightning, Physical, Blood, Void. It combines chains, rapid pulses and conduction; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; pulling, spatial distortion and collapse. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x5C."
reaction_6C,0x6C,Catastrophe,Lightning + Physical + Toxic + Void,Volt–Ruin–Miasma–Umbral Collapse,Toxic,2.035,4.27,5.08,6,3,1.06,"Catastrophe of Lightning, Physical, Toxic, Void. It combines chains, rapid pulses and conduction; impact, armor break, stagger and displacement; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x6C."
reaction_74,0x74,Catastrophe,Lightning + Blood + Toxic + Void,Volt–Crimson–Miasma–Umbral Collapse,Void,2.11,4.2,5.62,5,3,1.02,"Catastrophe of Lightning, Blood, Toxic, Void. It combines chains, rapid pulses and conduction; wounds, execution pressure and organic spread; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x74."
reaction_78,0x78,Catastrophe,Physical + Blood + Toxic + Void,Ruin–Crimson–Miasma–Umbral Collapse,Void,1.985,3.92,5.44,5,2,1.02,"Catastrophe of Physical, Blood, Toxic, Void. It combines impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x78."
reaction_1F,0x1F,Convergence,Fire + Cold + Lightning + Physical + Blood,Cinder Rime Convergence of Lightning–Physical–Blood,Cold,2.35,4.4,5.89,5,3,1.025,"Convergence of Fire, Cold, Lightning, Physical, Blood. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x1F."
reaction_2F,0x2F,Convergence,Fire + Cold + Lightning + Physical + Toxic,Cinder Rime Aetherstorm of Lightning–Physical–Toxic,Lightning,2.55,4.4,6.34,5,2,0.985,"Convergence of Fire, Cold, Lightning, Physical, Toxic. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; poison, contamination and persistent clouds. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x2F."
reaction_4F,0x4F,Convergence,Fire + Cold + Lightning + Physical + Void,Cinder Rime Devouring Crown of Lightning–Physical–Void,Void,2.525,4.89,6.61,5,2,0.985,"Convergence of Fire, Cold, Lightning, Physical, Void. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x4F."
reaction_37,0x37,Convergence,Fire + Cold + Lightning + Blood + Toxic,Cinder Rime Ascendance of Lightning–Blood–Toxic,Toxic,2.3,4.4,5.89,7,3,0.945,"Convergence of Fire, Cold, Lightning, Blood, Toxic. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; wounds, execution pressure and organic spread; poison, contamination and persistent clouds. Fire is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x37."
reaction_57,0x57,Convergence,Fire + Cold + Lightning + Blood + Void,Cinder Rime Convergence of Lightning–Blood–Void,Cold,2.275,4.89,6.25,7,2,0.945,"Convergence of Fire, Cold, Lightning, Blood, Void. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; wounds, execution pressure and organic spread; pulling, spatial distortion and collapse. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x57."
reaction_67,0x67,Convergence,Fire + Cold + Lightning + Toxic + Void,Cinder Rime Aetherstorm of Lightning–Toxic–Void,Fire,2.425,4.82,6.43,5,3,0.985,"Convergence of Fire, Cold, Lightning, Toxic, Void. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Toxic is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x67."
reaction_3B,0x3B,Convergence,Fire + Cold + Physical + Blood + Toxic,Cinder Rime Convergence of Physical–Blood–Toxic,Physical,2.5,4.68,6.7,7,2,0.945,"Convergence of Fire, Cold, Physical, Blood, Toxic. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; poison, contamination and persistent clouds. Toxic is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x3B."
reaction_5B,0x5B,Convergence,Fire + Cold + Physical + Blood + Void,Cinder Rime Grand Crucible of Physical–Blood–Void,Void,2.475,4.54,5.98,7,2,1.025,"Convergence of Fire, Cold, Physical, Blood, Void. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; pulling, spatial distortion and collapse. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x5B."
reaction_6B,0x6B,Convergence,Fire + Cold + Physical + Toxic + Void,Cinder Rime Devouring Crown of Physical–Toxic–Void,Toxic,2.3,4.47,6.16,5,2,0.985,"Convergence of Fire, Cold, Physical, Toxic, Void. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; impact, armor break, stagger and displacement; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x6B."
reaction_73,0x73,Convergence,Fire + Cold + Blood + Toxic + Void,Cinder Rime Convergence of Blood–Toxic–Void,Toxic,2.425,4.54,6.07,5,3,0.985,"Convergence of Fire, Cold, Blood, Toxic, Void. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; wounds, execution pressure and organic spread; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Fire is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x73."
reaction_3D,0x3D,Convergence,Fire + Lightning + Physical + Blood + Toxic,Cinder Volt Aetherstorm of Physical–Blood–Toxic,Physical,2.275,4.54,6.61,7,2,0.945,"Convergence of Fire, Lightning, Physical, Blood, Toxic. It combines burning, spreading flames and area denial; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; poison, contamination and persistent clouds. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x3D."
reaction_5D,0x5D,Convergence,Fire + Lightning + Physical + Blood + Void,Cinder Volt Devouring Crown of Physical–Blood–Void,Void,2.25,4.4,5.89,6,2,1.025,"Convergence of Fire, Lightning, Physical, Blood, Void. It combines burning, spreading flames and area denial; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; pulling, spatial distortion and collapse. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x5D."
reaction_6D,0x6D,Convergence,Fire + Lightning + Physical + Toxic + Void,Cinder Volt Worldstorm of Physical–Toxic–Void,Fire,2.45,4.4,6.34,6,3,0.985,"Convergence of Fire, Lightning, Physical, Toxic, Void. It combines burning, spreading flames and area denial; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x6D."
reaction_75,0x75,Convergence,Fire + Lightning + Blood + Toxic + Void,Cinder Volt Aetherstorm of Blood–Toxic–Void,Blood,2.525,4.96,5.98,5,2,0.985,"Convergence of Fire, Lightning, Blood, Toxic, Void. It combines burning, spreading flames and area denial; chains, rapid pulses and conduction; wounds, execution pressure and organic spread; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x75."
reaction_79,0x79,Convergence,Fire + Physical + Blood + Toxic + Void,Cinder Ruin Devouring Crown of Blood–Toxic–Void,Fire,2.4,4.61,6.7,5,3,0.945,"Convergence of Fire, Physical, Blood, Toxic, Void. It combines burning, spreading flames and area denial; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x79."
reaction_3E,0x3E,Convergence,Cold + Lightning + Physical + Blood + Toxic,Rime Volt Ascendance of Physical–Blood–Toxic,Cold,2.3,4.68,5.89,7,3,1.025,"Convergence of Cold, Lightning, Physical, Blood, Toxic. It combines chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; poison, contamination and persistent clouds. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x3E."
reaction_5E,0x5E,Convergence,Cold + Lightning + Physical + Blood + Void,Rime Volt Convergence of Physical–Blood–Void,Cold,2.325,4.61,6.52,5,2,0.945,"Convergence of Cold, Lightning, Physical, Blood, Void. It combines chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x5E."
reaction_6E,0x6E,Convergence,Cold + Lightning + Physical + Toxic + Void,Rime Volt Aetherstorm of Physical–Toxic–Void,Toxic,2.475,4.54,6.7,7,3,0.985,"Convergence of Cold, Lightning, Physical, Toxic, Void. It combines chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x6E."
reaction_76,0x76,Convergence,Cold + Lightning + Blood + Toxic + Void,Rime Volt Ascendance of Blood–Toxic–Void,Cold,2.55,4.54,6.25,6,2,0.945,"Convergence of Cold, Lightning, Blood, Toxic, Void. It combines chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; wounds, execution pressure and organic spread; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Toxic is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x76."
reaction_7A,0x7A,Convergence,Cold + Physical + Blood + Toxic + Void,Rime Ruin Convergence of Blood–Toxic–Void,Void,2.425,4.82,6.07,6,3,0.945,"Convergence of Cold, Physical, Blood, Toxic, Void. It combines chill, freeze, brittleness and shattering; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x7A."
reaction_7C,0x7C,Convergence,Lightning + Physical + Blood + Toxic + Void,Volt Ruin Aetherstorm of Blood–Toxic–Void,Toxic,2.525,4.68,5.98,5,2,1.025,"Convergence of Lightning, Physical, Blood, Toxic, Void. It combines chains, rapid pulses and conduction; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x7C."
reaction_3F,0x3F,Calamity,Fire + Cold + Lightning + Physical + Blood + Toxic,Prismatic Detonation,Toxic,2.715,5.44,7.24,7,4,0.95,"Calamity of Fire, Cold, Lightning, Physical, Blood, Toxic. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; poison, contamination and persistent clouds. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x3F."
reaction_5F,0x5F,Calamity,Fire + Cold + Lightning + Physical + Blood + Void,Astral Tempest,Blood,2.69,5.3,6.52,7,4,0.95,"Calamity of Fire, Cold, Lightning, Physical, Blood, Void. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; pulling, spatial distortion and collapse. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x5F."
reaction_6F,0x6F,Calamity,Fire + Cold + Lightning + Physical + Toxic + Void,Elemental Cataclysm,Cold,2.89,5.3,6.97,7,3,0.91,"Calamity of Fire, Cold, Lightning, Physical, Toxic, Void. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x6F."
reaction_77,0x77,Calamity,Fire + Cold + Lightning + Blood + Toxic + Void,Living Apocalypse,Toxic,2.64,5.3,6.52,6,3,0.87,"Calamity of Fire, Cold, Lightning, Blood, Toxic, Void. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; wounds, execution pressure and organic spread; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x77."
reaction_7B,0x7B,Calamity,Fire + Cold + Physical + Blood + Toxic + Void,Silent Cataclysm,Blood,2.84,4.95,7.33,8,4,0.87,"Calamity of Fire, Cold, Physical, Blood, Toxic, Void. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x7B."
reaction_7D,0x7D,Calamity,Fire + Lightning + Physical + Blood + Toxic + Void,Worldfire Collapse,Void,2.615,5.44,7.24,8,3,0.87,"Calamity of Fire, Lightning, Physical, Blood, Toxic, Void. It combines burning, spreading flames and area denial; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x7D."
reaction_7E,0x7E,Calamity,Cold + Lightning + Physical + Blood + Toxic + Void,Absolute Extinction,Toxic,2.64,4.95,6.52,6,3,0.95,"Calamity of Cold, Lightning, Physical, Blood, Toxic, Void. It combines chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x7E."
reaction_7F,0x7F,Apex,Fire + Cold + Lightning + Physical + Blood + Toxic + Void,Worldbreak,Fire,3.055,5.71,7.87,9,4,0.795,"Apex of Fire, Cold, Lightning, Physical, Blood, Toxic, Void. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; chains, rapid pulses and conduction; impact, armor break, stagger and displacement; wounds, execution pressure and organic spread; poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x7F."
